ACID|FIXEDTERM_MNTHS|FIXEDTERM_YEARS|REPRICING_PLAN|RATE_FIXING_METHOD|ENTITY_CRE_FLG|DEL_FLG|LCHG_USER_ID|LCHG_TIME|RCRE_USER_ID|RCRE_TIME|TS_CNT|FLOAT_INT_TBL_CODE|FLOAT_REPRICING_FREQ_MNTHS|FLOAT_REPRICING_FREQ_DAYS|RULE_CODE|BANK_ID
013123255|0|0|F||Y|N|05615|2015-04-30 21:25:45.0|C1616|2015-04-30 21:17:00.0|2||0|0||01
013123316|0|0|F||Y|N|05443|2015-04-30 22:01:36.0|C1836|2015-04-30 21:47:11.0|2||0|0||01
013126653|0|0|F||Y|N|04584|2015-05-06 17:18:13.0|C1748|2015-05-06 17:13:17.0|1||0|0||01
013131673|0|0|F||Y|N|00956|2015-05-12 14:18:35.0|C0305|2015-05-12 14:12:31.0|1||0|0||01
013136788|0|0|F||Y|N|05615|2015-05-18 16:06:24.0|C1782|2015-05-18 15:51:55.0|1||0|0||01
013139631|0|0|F||Y|N|06528|2015-05-21 14:15:12.0|C1836|2015-05-21 14:07:30.0|1||0|0||01
013128590|0|0|F||Y|N|04584|2015-05-08 11:23:40.0|C2056|2015-05-08 10:16:38.0|1||0|0||01
013131481|0|0|F||Y|N|04584|2015-05-12 11:03:35.0|C2056|2015-05-12 10:23:45.0|3||0|0||01
013138581|0|0|F||Y|N|05324|2015-05-20 13:23:23.0|C1893|2015-05-20 12:55:57.0|1||0|0||01
013138603|0|0|F||Y|N|06432|2015-05-20 15:50:21.0|C1746|2015-05-20 13:19:38.0|3||0|0||01
013138894|0|0|V||Y|N|03227|2015-05-20 17:45:50.0|C0643|2015-05-20 17:25:50.0|1||0|0||01
013139529|0|0|F||Y|N|04584|2015-05-21 12:25:06.0|C2056|2015-05-21 12:19:12.0|1||0|0||01
013139629|0|0|F||Y|N|05615|2015-05-21 14:22:04.0|C1782|2015-05-21 14:05:59.0|1||0|0||01
013142440|0|0|F||Y|N|05443|2015-05-25 14:41:13.0|C1861|2015-05-25 13:44:44.0|1||0|0||01
013144744|0|0|V||Y|N|04584|2015-05-27 14:49:51.0|C1611|2015-05-27 14:09:11.0|1||0|0||01
013145893|0|0|F||Y|N|05324|2015-05-28 16:28:12.0|C1697|2015-05-28 16:06:55.0|1||0|0||01
013146535|0|0|V||Y|N|04353|2015-05-29 12:57:47.0|C1385|2015-05-29 11:57:42.0|1||0|0||01
013142385|0|0|F||Y|N|05615|2015-05-25 13:09:08.0|C1774|2015-05-25 12:49:11.0|1||0|0||01
013145891|0|0|F||Y|N|05615|2015-05-28 16:22:53.0|C1782|2015-05-28 16:01:57.0|1||0|0||01
013142459|0|0|F||Y|N|05324|2015-05-25 14:36:35.0|C1697|2015-05-25 14:28:12.0|1||0|0||01
013143006|0|0|F||Y|N|04584|2015-05-25 18:21:20.0|C1606|2015-05-25 18:16:53.0|1||0|0||01
013145830|0|0|F||Y|N|05615|2015-05-28 15:44:49.0|C1616|2015-05-28 15:16:20.0|1||0|0||01
013146161|0|0|V||Y|N|04584|2015-05-28 19:37:30.0|C1611|2015-05-28 19:28:24.0|1||0|0||01
013148171|0|0|V||Y|N|00956|2015-05-30 17:06:43.0|C0305|2015-05-30 16:57:43.0|1||0|0||01
013148876|0|0|V||Y|N|04584|2015-05-31 15:24:59.0|C1777|2015-05-31 15:18:59.0|1||0|0||01
013146788|0|0|F||Y|N|04353|2015-05-29 17:26:12.0|C1835|2015-05-29 16:15:16.0|1||0|0||01
013147080|0|0|F||Y|N|05324|2015-05-29 19:23:44.0|C1697|2015-05-29 19:05:53.0|1||0|0||01
013147565|0|0|F||Y|N|04584|2015-05-30 10:46:59.0|C1777|2015-05-30 10:35:37.0|1||0|0||01
013147628|0|0|F||Y|N|00964|2015-05-30 11:33:22.0|C0131|2015-05-30 11:20:32.0|1||0|0||01
013148338|0|0|F||Y|N|03585|2015-05-30 19:18:21.0|C1748|2015-05-30 19:10:02.0|2||0|0||01
013148492|0|0|F||Y|N|05615|2015-05-30 20:34:35.0|C1782|2015-05-30 20:29:53.0|1||0|0||01
013148831|0|0|F||Y|N|05615|2015-05-31 12:32:20.0|C1616|2015-05-31 12:24:32.0|1||0|0||01
013148860|0|0|V||Y|N|03585|2015-05-31 13:59:05.0|04584|2015-05-31 13:55:01.0|1||0|0||01
013151809|0|0|F||Y|N|00956|2015-06-04 12:05:46.0|C0305|2015-06-04 12:03:26.0|1||0|0||01
013166961|0|0|F||Y|N|00964|2015-06-09 15:43:12.0|C0131|2015-06-09 15:23:10.0|1||0|0||01
013148884|0|0|F||Y|N|05324|2015-05-31 16:19:13.0|C1697|2015-05-31 16:16:45.0|1||0|0||01
013148895|0|0|F||Y|N|03585|2015-05-31 17:25:29.0|C1778|2015-05-31 16:59:40.0|2||0|0||01
013155528|0|0|C||Y|N|04584|2015-06-05 11:38:13.0|C1777|2015-06-05 11:32:00.0|1||0|0||01
013151970|0|0|F||Y|N|06432|2015-06-04 18:03:46.0|C1841|2015-06-04 14:40:43.0|1||0|0||01
013155583|0|0|F||Y|N|05615|2015-06-05 12:53:19.0|C1782|2015-06-05 12:33:43.0|1||0|0||01
013165365|0|0|F||Y|N|06432|2015-06-06 15:35:42.0|C1841|2015-06-06 15:24:11.0|1||0|0||01
013165372|0|0|F||Y|N|06432|2015-06-06 15:37:29.0|C1841|2015-06-06 15:30:16.0|1||0|0||01
013165162|0|0|F||Y|N|05615|2015-06-06 11:20:28.0|C1782|2015-06-06 11:13:23.0|3||0|0||01
